stop|coordinates
Bathurst Station|(43.6660011, -79.4112152)
Bathurst St / Lennox St|(43.66383150000001, -79.41068349999999)
Bathurst St / Harbord St|(43.6615246, -79.40975590000001)
Bathurst St / Ulster St|(43.6598108, -79.409058)
Bathurst St / College St|(43.6564647, -79.4077012)
Bathurst St / Nassau St / Toronto Western Hosp|(43.6534492, -79.40547699999999)
Bathurst St / Dundas St W / Toronto Western Hosp|(43.6534492, -79.40547699999999)
Bathurst St / Robinson St|(43.6488203, -79.40462029999999)
Bathurst St / Queen St West|(43.6471969, -79.4039809)
Bathurst St / King St West|(43.64390350000001, -79.4026703)
Bathurst St / Niagara St|(43.6419137, -79.4018782)
Bathurst St / Fort York Blvd|(43.6388818, -79.40065550000001)
Fleet St / Bathurst St West|(43.6367945, -79.3998864)
Fleet St / Bastion St West|(43.6359882, -79.40359269999999)
Fleet St / Fort York Blvd West|(43.6364564, -79.40690219999999)
Manitoba Dr / Strachan Ave West|(43.6361837, -79.4095991)
Exhibition Loop|(43.6362392, -79.4155857)
Exhibition Loop|(43.6362392, -79.4155857)
