stop|coordinates
Spadina Station|(43.6671711, -79.40435339999999)
Spadina Ave / Sussex Ave South|(43.6646377, -79.40282859999999)
Spadina Ave / Harbord St South|(43.6630939, -79.4020097)
Spadina Ave / Willcocks St|(43.6613272, -79.4012928)
Spadina Ave / College St South|(43.6579468, -79.4001475)
Spadina Ave / Nassau St South|(43.6558393, -79.3993082)
Spadina Ave / Dundas St West South|(43.65291269999999, -79.39815469999999)
Spadina Ave / Sullivan St|(43.6508824, -79.3973219)
Spadina Ave / Queen St West South|(43.6487579, -79.396276)
Spadina Ave / King St West|(43.64550450000001, -79.39492159999999)
Spadina Ave / Front St West|(43.6427164, -79.39403539999999)
Spadina Ave / Bremner Blvd|(43.6405651, -79.3928444)
Queens Quay West / Lower Spadina Ave East Side|(43.6377675, -79.39123819999999)
Queens Quay West / Rees St|(43.6389238, -79.3866116)
Queens Quay West / Harbourfront Centre|(43.638834, -79.3818785)
Queens Quay / Ferry Docks Station|(43.6416784, -79.37704839999999)
Union Station|(43.645644, -79.380849)
