|stop|coordinates
98|Queen St East / Carlaw Ave|(43.6610568, -79.3400746)
99|Gerrard St East / Greenwood Ave|(43.6709006, -79.32799810000002)
100|Queen St East / Silver Birch Ave|(43.6731341, -79.2852418)
101|Lake Shore Blvd West / Fifth St|(43.6014231, -79.5030080)
102|College St / Bay St|(43.6608355, -79.3858556)
103|Queen St East / Sherbourne St|(43.6545207, -79.36944299999999)
104|Pape Ave / Harcourt Ave|(43.677411, -79.3442546)
105|Roncesvalles Ave / Howard Park Ave South|(43.6514994, -79.4510634)
106|Pape Ave / Danforth Ave|(43.6789687, -79.34488499999999)
107|St Clair Ave West / Warren Rd East|(43.6856051, -79.4062829)
108|Fleet St / Fort York Blvd West|(43.6364564, -79.40690219999999)
109|Lake Shore Blvd West / Royal York Rd|(43.60367, -79.4931515)
110|St Clair Ave West / Avenue Rd East|(43.6865435, -79.40145729999999)
111|Edna Ave / Dundas St West|(43.657274, -79.4526928)
112|Gerrard St East / Sackville St|(43.66259729999999, -79.36402369999999)
113|Dundas West Station|(43.6568393, -79.45333409999999)
114|Queens Quay West / Lower Spadina Ave East Side|(43.6377675, -79.39123819999999)
115|St Clair Ave West / Spadina Rd|(43.68469220000001, -79.4111827)
116|Parliament St / Gerrard St East|(43.66194780000001, -79.36702509999999)
117|Queen St East / Jones Ave|(43.6626752, -79.3328051)
118|Queens Quay West / Rees St|(43.6389238, -79.3866116)
119|Fleet St / Fort York Blvd East|(43.6364564, -79.40690219999999)
120|Bathurst St / College St|(43.6564647, -79.4077012)
121|College St / Beverley St|(43.6587075, -79.3959215)
122|The Queensway / Ellis Ave East|(43.6377122, -79.4663906)
123|Bathurst St / Ulster St|(43.6598108, -79.409058)
124|Spadina Ave / College St South|(43.6579468, -79.4001475)
125|Queen St East / Elmer Ave|(43.6692614, -79.3035213)
126|Spadina Ave / Sullivan St|(43.6508824, -79.3973219)
127|Lake Shore Blvd West / Twenty Eighth St|(43.59583629999999, -79.52762659999999)
128|King St W / Univ Ave E Side / St Andrew Sta|(43.6476574, -79.3848079)
129|College St / Dovercourt Rd|(43.6536125, -79.4263938)
130|York St / King St West North|(43.6479288, -79.38354919999999)
131|Gerrard St East / Leslie St|(43.66981150000001, -79.33305519999999)
132|Gerrard St East / Kingsmount Park Rd|(43.6797686, -79.3126532)
133|St Clair Ave West / Northcliffe Blvd|(43.6785033, -79.44085319999999)
134|Gerrard St East / River St|(43.6636944, -79.35923129999999)
135|Coxwell Ave / Gerrard St East|(43.6753569, -79.32028249999999)
136|King St East / Sackville St|(43.6544369, -79.36033309999999)
137|Roncesvalles Ave / Galley Ave|(43.6428251, -79.44770670000001)
138|Lake Shore Blvd West / Kipling Ave East|(43.5982045, -79.5169695)
139|King St East / Sherbourne St|(43.651266, -79.3682532)
140|Queen St West / Dunn Ave|(43.6410416, -79.4345264)
141|King St East / Church St East|(43.6499189, -79.3743915)
142|Kingston Rd / Brookside Dr|(43.6769251, -79.3041099)
143|King St West / Jarvis St East|(43.6504761, -79.37190729999999)
144|College St / Rusholme Park Cres|(43.6529203, -79.4296335)
145|King St West / Shaw St|(43.6414282, -79.4149971)
146|King St West / Niagara St|(43.6428972, -79.4077039)
147|St Clair Ave West / Wychwood Ave|(43.6822108, -79.423504)
148|Dundas St East / River St|(43.6611965, -79.3581409)
149|Queen St East / Sarah Ashbridge Ave|(43.6679932, -79.3092005)
150|Fleet St / Bastion St West|(43.6359882, -79.40359269999999)
151|Queen St East / Sumach St|(43.656832, -79.3589094)
152|King St West / Joe Shuster Way|(43.6397139, -79.4235468)
153|King St West / Jarvis St West|(43.6504761, -79.37190729999999)
154|St Clair Ave West / Deer Park Cres|(43.687346, -79.3980646)
155|Queens Quay / Ferry Docks Station|(43.6416784, -79.37704839999999)
156|Lake Shore Blvd West / Third St|(43.6017665, -79.50075869999999)
157|King St West / Bay St West|(43.6486507, -79.3802583)
158|Queen St West / Bay St|(43.6518897, -79.38173239999999)
159|Kingston Rd / Elmer Ave|(43.675673, -79.30596640000002)
160|Lake Shore Blvd West / Mimico Ave|(43.6137022, -79.4893613)
161|Carlaw Ave / Langley Ave|(43.6699304, -79.3436935)
162|St Clair Ave West / Vaughan Rd|(43.6827095, -79.4200063)
163|Dundas St West / Bloor St West|(43.6566204, -79.4517061)
164|Queen St East / Empire Ave|(43.6600778, -79.3444502)
165|St Clair Ave West / Caledonia Park Rd|(43.67528679999999, -79.45472769999999)
166|Church St / Lombard St North|(43.65181159999999, -79.3751881)
167|Gerrard St East / Coxwell Ave|(43.6753569, -79.32028249999999)
168|College St / Bathurst St|(43.6564647, -79.4077012)
169|St Clair Ave West / Tweedsmuir Ave|(43.6842038, -79.4134174)
170|Bingham Ave / Kingston Rd|(43.68071519999999, -79.2850942)
171|College St / Augusta Ave|(43.6573535, -79.40317089999999)
172|King St West / Atlantic Ave|(43.6401779, -79.4212498)
173|Spadina Ave / Front St West|(43.6427164, -79.39403539999999)
174|Spadina Ave / Queen St West South|(43.6487579, -79.396276)
175|Kingston Rd / Woodbine Ave|(43.6739334, -79.3079266)
176|Gerrard St East / Woodbine Ave|(43.6808057, -79.3107465)
177|Parliament St / Queen St East|(43.65560010000001, -79.3644429)
178|Lake Shore Blvd West / Fortieth St|(43.5926131, -79.54177059999999)
179|College St / Elizabeth St|(43.66051820000001, -79.38741689999999)
180|Kingston Rd / Dundas St East|(43.6699496, -79.3111773)
181|Kingston Rd / Beech Ave|(43.6802579, -79.290703)
182|St Clair Ave West / Dufferin St|(43.67802160000001, -79.4430842)
183|Long Branch Loop|(43.5919725, -79.5438952)
184|Gerrard St East / Broadview Ave|(43.6654831, -79.35263359999999)
185|Lake Shore Blvd West / Superior Ave|(43.61496169999999, -79.4886581)
186|Queen St West / Niagara St|(43.6459939, -79.4099355)
187|St.Clair West Station|(43.6841895, -79.4154172)
188|Queen St West / John St|(43.6498656, -79.3910745)
189|Queen St East / River St|(43.6573601, -79.3565295)
190|Pape Ave / Riverdale Ave North|(43.6712471, -79.34171169999999)
191|Exhibition Loop|(43.6362392, -79.4155857)
192|Pape Ave / Wroxeter Ave|(43.6751072, -79.3433014)
193|Gerrard St East / Bowmore Rd|(43.6780623, -79.31499149999999)
194|Bathurst St / Niagara St|(43.6419137, -79.4018782)
195|Queens Quay W / Bathurst St E Side City Airport|(43.6357159, -79.3984369)
196|Dundas St East / Munro St|(43.6620645, -79.35305749999999)
197|Spadina Ave / Bremner Blvd|(43.6405651, -79.3928444)
198|Queen St East / Wineva Ave|(43.6709551, -79.29574219999999)
199|Queen St East / Beech Ave|(43.67264309999999, -79.2875902)
200|Queen St East / Neville Park Blvd|(43.6738404, -79.2818681)
201|King St West / Tecumseth St|(43.6433939, -79.4052578)
202|King St West / Dufferin St|(43.638954, -79.4273614)
203|Kingston Rd / Columbine Ave|(43.6715109, -79.3103859)
204|Kingston Rd / Glen Manor Dr|(43.6797315, -79.2945498)
205|King St West / Bathurst St East|(43.64390350000001, -79.4026703)
206|St Clair Ave West / Oakwood Ave East|(43.6794987, -79.4358172)
207|Spadina Ave / Sussex Ave South|(43.6646377, -79.40282859999999)
208|Gerrard St East / Carlaw Ave|(43.66762260000001, -79.342759)
209|King St West / Dowling Ave|(43.6366658, -79.43857799999999)
