stop|coordinates
King St West / Wilson Park Rd|(43.636631, -79.4415691)
King St West / Dowling Ave|(43.6366658, -79.43857799999999)
King St West / Jameson Ave|(43.637178, -79.436008)
King St West / Dunn Ave|(43.6377488, -79.4332591)
King St West / Spencer Ave|(43.6382296, -79.4308841)
King St West / Dufferin St|(43.638954, -79.4273614)
King St West / Joe Shuster Way|(43.6397139, -79.4235468)
King St West / Atlantic Ave|(43.6401779, -79.4212498)
King St West / Sudbury St|(43.6409652, -79.4173237)
King St West / Shaw St|(43.6414282, -79.4149971)
King St West / Strachan Ave|(43.6420487, -79.4119498)
King St West / Niagara St|(43.6428972, -79.4077039)
King St West / Tecumseth St|(43.6433939, -79.4052578)
King St West / Bathurst St East|(43.64390350000001, -79.4026703)
King St West / Portland St East|(43.6444455, -79.40005699999999)
King St West / Spadina Ave East|(43.64550450000001, -79.39492159999999)
King St West / Blue Jays Way East|(43.6460368, -79.3923068)
King St West / John St East|(44.1159341, -79.5621992)
King St W / Univ Ave E Side / St Andrew Sta|(43.6476574, -79.3848079)
King St West / Bay St East|(43.6486507, -79.3802583)
King St W / Yonge St East Side / King Station|(43.6491523, -79.37785989999999)
King St East / Church St East|(43.6499189, -79.3743915)
King St West / Jarvis St East|(43.6504761, -79.37190729999999)
King St East / Sherbourne St|(43.651266, -79.3682532)
King St East / Ontario St|(43.6517703, -79.3660731)
King St East / Parliament St|(43.6527427, -79.363224)
Parliament St / Richmond St East|(43.6545571, -79.364001)
Parliament St / Queen St East|(43.65560010000001, -79.3644429)
Parliament St / Shuter St|(43.6569387, -79.3649915)
Parliament St / Dundas St East|(43.6594276, -79.36599559999999)
Dundas St East / Regent Park Blvd|(43.6603557, -79.36180379999999)
Dundas St East / River St|(43.6611965, -79.3581409)
Dundas St East / Munro St|(43.6620645, -79.35305749999999)
Dundas St East / Broadview Ave|(43.6624664, -79.351366)
