stop|coordinates
Gunns Rd / Tarragona Blvd South|(43.6725465, -79.4715657)
St Clair Ave West / Keele St / Weston Rd|(43.6724487, -79.4679364)
St Clair Ave West / Old Weston Rd|(43.6734439, -79.4629927)
St Clair Ave West / Hounslow Heath Rd|(43.674133, -79.4599532)
St Clair Ave West / Laughton Ave|(43.6746509, -79.4575967)
St Clair Ave West / Caledonia Park Rd|(43.67528679999999, -79.45472769999999)
St Clair Ave West / Lansdowne Ave|(43.6763452, -79.4505978)
St Clair Ave West / Earlscourt Ave|(43.6770415, -79.44744550000001)
St Clair Ave West / Dufferin St|(43.67802160000001, -79.4430842)
St Clair Ave West / Northcliffe Blvd|(43.6785033, -79.44085319999999)
St Clair Ave West / Glenholme Ave|(43.6789873, -79.43863809999999)
St Clair Ave West / Oakwood Ave|(43.6794987, -79.4358172)
St Clair Ave West / Oakwood Ave East|(43.6794987, -79.4358172)
St Clair Ave West / Arlington Ave|(43.6809683, -79.42883669999999)
St Clair Ave West / Christie St|(43.6816341, -79.4257045)
St Clair Ave West / Wychwood Ave|(43.6822108, -79.423504)
St Clair Ave West / Vaughan Rd|(43.6827095, -79.4200063)
St Clair Ave West / Bathurst St|(43.6830782, -79.4182617)
St.Clair West Station|(43.6841895, -79.4154172)
St Clair Ave West / Tweedsmuir Ave|(43.6842038, -79.4134174)
St Clair Ave West / Spadina Rd|(43.68469220000001, -79.4111827)
St Clair Ave West / Russell Hill Rd|(43.685275, -79.407826)
St Clair Ave West / Warren Rd East|(43.6856051, -79.4062829)
St Clair Ave West / Avenue Rd East|(43.6865435, -79.40145729999999)
St Clair Ave West / Deer Park Cres|(43.687346, -79.3980646)
St Clair Ave East / Yonge St East|(43.6880291, -79.3940666)
St Clair Station|(43.6874845, -79.3930467)
