stop|coordinates
Long Branch Loop|(43.5919725, -79.5438952)
Lake Shore Blvd West / Thirty Seventh St|(43.5934222, -79.5381821)
Lake Shore Blvd West / Long Branch Ave|(43.59438410000001, -79.5339748)
Lake Shore Blvd West / Thirty First St|(43.5952384, -79.5302928)
Lake Shore Blvd West / Twenty Eighth St|(43.59583629999999, -79.52762659999999)
Lake Shore Blvd West / Twenty Seventh St|(43.59644120000001, -79.5249365)
Lake Shore Blvd West / Twenty Second St|(43.5972324, -79.52131829999999)
Lake Shore Blvd W / Colonel Samuel Smith Park Dr|(43.5991005, -79.51288840000001)
Lake Shore Blvd West / Thirteenth St|(43.5993276, -79.51185009999999)
Lake Shore Blvd West / Tenth St|(43.6000291, -79.50865639999999)
Lake Shore Blvd West / Seventh St|(43.6007796, -79.50525449999999)
Lake Shore Blvd West / Fifth St|(43.6328215, -79.4363268)
Lake Shore Blvd West / Third St|(43.6017665, -79.50075869999999)
Lake Shore Blvd West / First St|(43.6022663, -79.4984924)
Lake Shore Blvd West / Royal York Rd|(43.60367, -79.4931515)
Lake Shore Blvd West / Miles Rd|(43.6083254, -79.49035789999999)
Lake Shore Blvd West / Norris Cres|(43.6109568, -79.4900698)
Lake Shore Blvd West / Mimico Ave|(43.6137022, -79.4893613)
Lake Shore Blvd West / Superior Ave|(43.61496169999999, -79.4886581)
Lake Shore Blvd West / Burlington St|(43.617302, -79.487344)
Lake Shore Blvd West / Louisa St|(43.6189286, -79.48646389999999)
Lake Shore Blvd West / Legion Rd|(43.6205242, -79.48323119999999)
Lake Shore Blvd West / Park Lawn Rd|(43.6229412, -79.48128059999999)
2155 Lake Shore Blvd West|(43.626148, -79.47970600000001)
2111 Lake Shore Blvd West|(43.6290253, -79.4781811)
The Queensway / Windermere Ave East|(43.6373075, -79.47000729999999)
The Queensway / Ellis Ave East|(43.6377122, -79.4663906)
The Queensway / Colborne Lodge Dr East|(43.639606, -79.4595894)
The Queensway / Parkside Dr|(43.6253329, -79.5072058)
The Queensway / Glendale Ave E Side / St Joseph's Health Ctr|(43.6392967, -79.44872420000002)
The Queensway / Roncesvalles Ave|(43.6387919, -79.4461334)
Queen St West / Triller Ave|(43.6392009, -79.4437714)
Queen St West / Beaty Ave|(43.6397102, -79.4411384)
Queen St West / Jameson Ave|(43.6404714, -79.4372735)
Queen St West / Dunn Ave|(43.6410416, -79.4345264)
Queen St West / Brock Ave|(43.6414803, -79.43233099999999)
Queen St West / Dufferin St|(43.642226, -79.4286137)
Queen St West / Sudbury St|(43.6425333, -79.4271162)
Queen St West / Abell St|(43.6430858, -79.4243611)
Queen St West / Dovercourt Rd|(43.64347859999999, -79.4223717)
Queen St West / Ossington Ave|(43.644171, -79.4188508)
Queen St West / Shaw St|(43.6447019, -79.41627869999999)
Queen St West / Strachan Ave|(43.64533489999999, -79.4131843)
Queen St West / Niagara St|(43.6459939, -79.4099355)
Queen St West / Tecumseth St|(43.6466705, -79.4065926)
Queen St West / Bathurst St|(43.6471969, -79.4039809)
Queen St West / Augusta Ave|(43.6480658, -79.39964859999999)
Queen St West / Spadina Ave|(43.6487579, -79.396276)
Queen St West / Peter St|(43.6493175, -79.3936437)
Queen St West / John St|(43.6498656, -79.3910745)
Queen St W / University Ave / Osgoode Station|(43.65061439999999, -79.38683139999999)
Queen St West / York St|(43.651199, -79.3849089)
Queen St West / Bay St|(43.6518897, -79.38173239999999)
Bay St / Adelaide St West|(43.6498929, -79.380774)
King St West / Bay St East|(43.6486507, -79.3802583)
King St W / Yonge St East Side / King Station|(43.6491523, -79.37785989999999)
Church St / King St East|(43.6499189, -79.3743915)
Church St / Lombard St North|(43.65181159999999, -79.3751881)
Church St / Queen St East|(43.6531733, -79.3757536)
Queen St East / Jarvis St|(43.653716, -79.3732461)
Queen St East / Sherbourne St|(43.6545207, -79.36944299999999)
Queen St East / Ontario St|(43.65501400000001, -79.3671634)
Queen St East / Parliament St|(43.65560010000001, -79.3644429)
Queen St East / Sackville St|(43.6562647, -79.361453)
Queen St East / Sumach St|(43.656832, -79.3589094)
Queen St East / River St|(43.6573601, -79.3565295)
Queen St East / Carroll St|(43.65832890000001, -79.3522244)
Queen St East / Broadview Ave|(43.6588705, -79.3498245)
Queen St East / Saulter St East|(43.6594099, -79.3474226)
Queen St East / Empire Ave|(43.6600778, -79.3444502)
Queen St East / Logan Ave|(43.66051940000001, -79.3424849)
Queen St East / Carlaw Ave|(43.6610568, -79.3400746)
Queen St East / Pape Ave|(43.6615867, -79.3376924)
Queen St East / Caroline Ave|(43.6621204, -79.3353068)
Queen St East / Jones Ave|(43.6626752, -79.3328051)
Queen St East / Leslie St|(43.6632538, -79.3302021)
Queen St East / Alton Ave|(43.6637879, -79.3278595)
Queen St East / Greenwood Ave|(43.6643718, -79.3252892)
Queen St East / Woodfield Rd|(43.6652797, -79.3212504)
Queen St East / Coxwell Ave|(43.6663331, -79.3165649)
Queen St East / Kingston Rd|(43.6672211, -79.3125987)
Queen St East / Sarah Ashbridge Ave|(43.6679932, -79.3092005)
Queen St East / Woodbine Ave|(43.6687539, -79.3057895)
Queen St East / Elmer Ave|(43.6692614, -79.3035213)
Queen St East / Bellefair Ave|(43.670084, -79.29982129999999)
Queen St East / Wineva Ave|(43.6709551, -79.29574219999999)
Queen St East / Glen Manor Dr|(43.6716159, -79.29257179999999)
Queen St East / Beech Ave|(43.67264309999999, -79.2875902)
Queen St East / Silver Birch Ave|(43.6731341, -79.2852418)
Queen St East / Neville Park Blvd|(43.6738404, -79.2818681)
