stop|coordinates
Long Branch Loop|(43.5919725, -79.5438952)
Lake Shore Blvd West / Fortieth St|(43.5926131, -79.54177059999999)
Lake Shore Blvd West / Thirty Seventh St|(43.5934222, -79.5381821)
Lake Shore Blvd West / Long Branch Ave|(43.59438410000001, -79.5339748)
Lake Shore Blvd West / Thirty First St|(43.5952384, -79.5302928)
Lake Shore Blvd West / Twenty Eighth St|(43.59583629999999, -79.52762659999999)
Lake Shore Blvd West / Twenty Seventh St|(43.59644120000001, -79.5249365)
Lake Shore Blvd West / Twenty Second St|(43.5972324, -79.52131829999999)
Lake Shore Blvd W / Colonel Samuel Smith Park Dr|(43.5991005, -79.51288840000001)
Lake Shore Blvd West / Kipling Ave East|(43.5982045, -79.5169695)
Lake Shore Blvd West / Thirteenth St|(43.5993276, -79.51185009999999)
Lake Shore Blvd West / Tenth St|(43.6000291, -79.50865639999999)
Lake Shore Blvd West / Seventh St|(43.6007796, -79.50525449999999)
Lake Shore Blvd West / Fifth St|(43.6328215, -79.4363268)
Lake Shore Blvd West / Third St|(43.6017665, -79.50075869999999)
Lake Shore Blvd West / First St|(43.6022663, -79.4984924)
Lake Shore Blvd West / Royal York Rd|(43.60367, -79.4931515)
Lake Shore Blvd West / Miles Rd|(43.6083254, -79.49035789999999)
Lake Shore Blvd West / Norris Cres|(43.6109568, -79.4900698)
Lake Shore Blvd West / Mimico Ave|(43.6137022, -79.4893613)
Lake Shore Blvd West / Superior Ave|(43.61496169999999, -79.4886581)
Lake Shore Blvd West / Burlington St|(43.617302, -79.487344)
Lake Shore Blvd West / Louisa St|(43.6189286, -79.48646389999999)
Lake Shore Blvd West / Legion Rd|(43.6205242, -79.48323119999999)
Lake Shore Blvd West / Park Lawn Rd|(43.6229412, -79.48128059999999)
2155 Lake Shore Blvd West|(43.626148, -79.47970600000001)
2111 Lake Shore Blvd West|(43.6290253, -79.4781811)
The Queensway / Windermere Ave East|(43.6373075, -79.47000729999999)
The Queensway / Ellis Ave East|(43.6377122, -79.4663906)
The Queensway / Colborne Lodge Dr East|(43.639606, -79.4595894)
The Queensway / Glendale Ave E Side / St Joseph's Health Ctr|(43.6392967, -79.44872420000002)
The Queensway / Roncesvalles Ave|(43.6387919, -79.4461334)
