stop|coordinates
Bingham Loop|(43.681553, -79.284714)
Bingham Ave / Kingston Rd|(43.68071519999999, -79.2850942)
Kingston Rd / Scarborough Rd|(43.6805346, -79.28712089999999)
Kingston Rd / Beech Ave|(43.6802579, -79.290703)
Kingston Rd / Glen Manor Dr|(43.6797315, -79.2945498)
Kingston Rd / Main St|(43.6789004, -79.29801770000002)
Kingston Rd / Lee Ave|(43.6781508, -79.30115820000002)
Kingston Rd / Brookside Dr|(43.6769251, -79.3041099)
Kingston Rd / Elmer Ave|(43.675673, -79.30596640000002)
Kingston Rd / Woodbine Ave|(43.6739334, -79.3079266)
Kingston Rd / Columbine Ave|(43.6715109, -79.3103859)
Kingston Rd / Dundas St East|(43.6699496, -79.3111773)
Kingston Rd / Queen St East|(43.6672211, -79.3125987)
Queen St East / Coxwell Ave|(43.6663331, -79.3165649)
Queen St East / Woodfield Rd|(43.6652797, -79.3212504)
Queen St East / Greenwood Ave|(43.6643718, -79.3252892)
Queen St East / Alton Ave|(43.6637879, -79.3278595)
Queen St East / Leslie St|(43.6632538, -79.3302021)
Queen St East / Jones Ave|(43.6626752, -79.3328051)
Queen St East / Brooklyn Ave|(43.6619921, -79.3358911)
Queen St East / Pape Ave|(43.6615867, -79.3376924)
Queen St East / Carlaw Ave|(43.6610568, -79.3400746)
Queen St East / Logan Ave|(43.66051940000001, -79.3424849)
Queen St East / Empire Ave|(43.6600778, -79.3444502)
Queen St East / Boulton Ave|(43.6595714, -79.34673149999999)
Queen St East / Broadview Ave|(43.6588705, -79.3498245)
Queen St East / Carroll St|(43.65832890000001, -79.3522244)
King St East / River St|(43.656868, -79.3561681)
King St East / Sumach St|(43.6555209, -79.35843899999999)
King St East / Sackville St|(43.6544369, -79.36033309999999)
King St East / Parliament St|(43.6527427, -79.363224)
King St East / Ontario St|(43.6517703, -79.3660731)
King St East / Sherbourne St|(43.651266, -79.3682532)
King St West / Jarvis St West|(43.6504761, -79.37190729999999)
King St East / Church St West|(43.6499189, -79.3743915)
King St W / Yonge St W Side / King Station|(43.6491523, -79.37785989999999)
King St West / Bay St West|(43.6486507, -79.3802583)
York St / King St West North|(43.6479288, -79.38354919999999)
