stop|coordinates
Exhibition Loop / Manitoba Dr|(43.6362392, -79.4155857)
Fleet St / Strachan Ave|(43.6361837, -79.4095991)
Fleet St / Fort York Blvd East|(43.6364564, -79.40690219999999)
Fleet St / Bastion St|(43.6359882, -79.40359269999999)
Fleet St / Bathurst St|(43.6367945, -79.3998864)
Queens Quay W / Bathurst St E Side City Airport|(43.6357159, -79.3984369)
Queens Quay West / Dan Leckie Way East|(43.6366169, -79.39667659999999)
Queens Quay West / Lower Spadina Ave East Side|(43.6377675, -79.39123819999999)
Queens Quay West / Rees St|(43.6389238, -79.3866116)
Queens Quay West / Harbourfront Centre|(43.638834, -79.3818785)
Queens Quay / Ferry Docks Station|(43.6416784, -79.37704839999999)
Union Station|(43.645644, -79.380849)
